,coin,high,low,open,close
2017-09-14 08:50:00,USDJPY,110.642,110.316,110.583,110.316
2017-09-14 08:55:00,USDJPY,110.517,110.313,110.313,110.454
2017-09-14 09:00:00,USDJPY,110.564,110.445,110.457,110.464
2017-09-14 09:05:00,USDJPY,110.709,110.461,110.462,110.684
2017-09-14 09:10:00,USDJPY,110.722,110.607,110.682,110.716
2017-09-14 09:15:00,USDJPY,110.719,110.64,110.713,110.657
2017-09-14 09:20:00,USDJPY,110.741,110.644,110.656,110.687
2017-09-14 09:25:00,USDJPY,110.776,110.675,110.687,110.748
2017-09-14 09:30:00,USDJPY,110.795,110.662,110.747,110.671
2017-09-14 09:35:00,USDJPY,110.671,110.582,110.669,110.583
2017-09-14 09:40:00,USDJPY,110.641,110.559,110.582,110.614
2017-09-14 09:45:00,USDJPY,110.651,110.534,110.613,110.542
2017-09-14 09:50:00,USDJPY,110.611,110.523,110.542,110.588
2017-09-14 09:55:00,USDJPY,110.626,110.574,110.59,110.592
2017-09-14 10:00:00,USDJPY,110.623,110.561,110.595,110.574
2017-09-14 10:05:00,USDJPY,110.574,110.525,110.573,110.55
2017-09-14 10:10:00,USDJPY,110.643,110.546,110.546,110.617
2017-09-14 10:15:00,USDJPY,110.618,110.56,110.613,110.564
2017-09-14 10:20:00,USDJPY,110.589,110.534,110.565,110.563
2017-09-14 10:25:00,USDJPY,110.577,110.523,110.566,110.544
2017-09-14 10:30:00,USDJPY,110.641,110.535,110.542,110.635
2017-09-14 10:35:00,USDJPY,110.651,110.588,110.635,110.643
2017-09-14 10:40:00,USDJPY,110.679,110.623,110.642,110.679
2017-09-14 10:45:00,USDJPY,110.725,110.666,110.679,110.713
2017-09-14 10:50:00,USDJPY,110.737,110.655,110.712,110.664
2017-09-14 10:55:00,USDJPY,110.707,110.635,110.666,110.704
2017-09-14 11:00:00,USDJPY,110.702,110.614,110.702,110.634
2017-09-14 11:05:00,USDJPY,110.664,110.616,110.635,110.661
2017-09-14 11:10:00,USDJPY,110.67,110.634,110.66,110.665
2017-09-14 11:15:00,USDJPY,110.707,110.66,110.661,110.692
2017-09-14 11:20:00,USDJPY,110.696,110.66,110.69,110.69
2017-09-14 11:25:00,USDJPY,110.707,110.651,110.692,110.676
2017-09-14 11:30:00,USDJPY,110.716,110.654,110.674,110.663
2017-09-14 11:35:00,USDJPY,110.667,110.62,110.665,110.634
2017-09-14 11:40:00,USDJPY,110.666,110.617,110.634,110.653
2017-09-14 11:45:00,USDJPY,110.664,110.642,110.655,110.651
2017-09-14 11:50:00,USDJPY,110.707,110.639,110.651,110.683
2017-09-14 11:55:00,USDJPY,110.694,110.659,110.681,110.664
2017-09-14 12:00:00,USDJPY,110.685,110.66,110.663,110.672
2017-09-14 12:05:00,USDJPY,110.689,110.66,110.671,110.677
2017-09-14 12:10:00,USDJPY,110.704,110.675,110.676,110.702
2017-09-14 12:15:00,USDJPY,110.738,110.689,110.704,110.698
2017-09-14 12:20:00,USDJPY,110.71,110.681,110.696,110.71
2017-09-14 12:25:00,USDJPY,110.715,110.699,110.707,110.713
2017-09-14 12:30:00,USDJPY,110.74,110.71,110.714,110.716
2017-09-14 12:35:00,USDJPY,110.731,110.712,110.715,110.725
2017-09-14 12:40:00,USDJPY,110.733,110.72,110.726,110.73
2017-09-14 12:45:00,USDJPY,110.731,110.716,110.729,110.716
2017-09-14 12:50:00,USDJPY,110.724,110.707,110.716,110.712
2017-09-14 12:55:00,USDJPY,110.739,110.71,110.713,110.738
2017-09-14 13:00:00,USDJPY,110.737,110.712,110.737,110.718
2017-09-14 13:05:00,USDJPY,110.72,110.676,110.72,110.686
2017-09-14 13:10:00,USDJPY,110.717,110.673,110.69,110.697
2017-09-14 13:15:00,USDJPY,110.699,110.673,110.699,110.688
2017-09-14 13:20:00,USDJPY,110.704,110.678,110.688,110.695
2017-09-14 13:25:00,USDJPY,110.716,110.69,110.694,110.708
2017-09-14 13:30:00,USDJPY,110.709,110.666,110.709,110.673
2017-09-14 13:35:00,USDJPY,110.679,110.647,110.673,110.656
2017-09-14 13:40:00,USDJPY,110.663,110.625,110.656,110.63
2017-09-14 13:45:00,USDJPY,110.631,110.525,110.628,110.526
2017-09-14 13:50:00,USDJPY,110.526,110.468,110.526,110.492
2017-09-14 13:55:00,USDJPY,110.51,110.454,110.491,110.481
2017-09-14 14:00:00,USDJPY,110.536,110.474,110.482,110.496
2017-09-14 14:05:00,USDJPY,110.541,110.5,110.501,110.522
2017-09-14 14:10:00,USDJPY,110.533,110.504,110.524,110.516
2017-09-14 14:15:00,USDJPY,110.517,110.471,110.515,110.501
2017-09-14 14:20:00,USDJPY,110.529,110.497,110.5,110.508
2017-09-14 14:25:00,USDJPY,110.522,110.496,110.507,110.51
2017-09-14 14:30:00,USDJPY,110.534,110.504,110.511,110.508
2017-09-14 14:35:00,USDJPY,110.537,110.502,110.509,110.528
2017-09-14 14:40:00,USDJPY,110.539,110.515,110.528,110.526
2017-09-14 14:45:00,USDJPY,110.54,110.517,110.527,110.539
