,coin,high,low,open,close
2018-04-20 02:00:00,USDCAD,1.267,1.26653,1.26653,1.26689
2018-04-20 02:05:00,USDCAD,1.2671700000000001,1.2668700000000002,1.2669,1.26711
2018-04-20 02:10:00,USDCAD,1.2672700000000001,1.26691,1.26712,1.26701
2018-04-20 02:15:00,USDCAD,1.26725,1.26693,1.26702,1.26712
2018-04-20 02:20:00,USDCAD,1.26737,1.2670700000000001,1.2671,1.26721
2018-04-20 02:25:00,USDCAD,1.2672700000000001,1.26712,1.26718,1.26719
2018-04-20 02:30:00,USDCAD,1.2674,1.26711,1.2672,1.26712
2018-04-20 02:35:00,USDCAD,1.26711,1.26671,1.2671,1.26674
2018-04-20 02:40:00,USDCAD,1.26673,1.2664600000000001,1.26673,1.2665799999999998
2018-04-20 02:45:00,USDCAD,1.26685,1.26635,1.2665899999999999,1.26645
2018-04-20 02:50:00,USDCAD,1.26674,1.26635,1.26642,1.26645
2018-04-20 02:55:00,USDCAD,1.26685,1.26642,1.26645,1.2668
2018-04-20 03:00:00,USDCAD,1.26701,1.2665,1.26678,1.2665
2018-04-20 03:05:00,USDCAD,1.2666899999999999,1.26636,1.26651,1.26661
2018-04-20 03:10:00,USDCAD,1.26662,1.2659799999999999,1.2665899999999999,1.26605
2018-04-20 03:15:00,USDCAD,1.26623,1.2659799999999999,1.26606,1.26607
2018-04-20 03:20:00,USDCAD,1.26631,1.26599,1.26606,1.26625
2018-04-20 03:25:00,USDCAD,1.26674,1.26623,1.2663,1.26662
2018-04-20 03:30:00,USDCAD,1.26704,1.26647,1.26661,1.2670299999999999
2018-04-20 03:35:00,USDCAD,1.2673299999999998,1.26691,1.2670299999999999,1.26731
2018-04-20 03:40:00,USDCAD,1.2673299999999998,1.26705,1.26731,1.26722
2018-04-20 03:45:00,USDCAD,1.26747,1.2671299999999999,1.2672299999999999,1.2673
2018-04-20 03:50:00,USDCAD,1.26758,1.26715,1.26728,1.26758
2018-04-20 03:55:00,USDCAD,1.26791,1.26747,1.26758,1.2675
2018-04-20 04:00:00,USDCAD,1.26783,1.26741,1.2675,1.26741
2018-04-20 04:05:00,USDCAD,1.26745,1.26695,1.2674299999999998,1.26739
2018-04-20 04:10:00,USDCAD,1.26741,1.26705,1.26739,1.26714
2018-04-20 04:15:00,USDCAD,1.26739,1.26704,1.26714,1.26734
2018-04-20 04:20:00,USDCAD,1.2673299999999998,1.2670700000000001,1.26732,1.26726
2018-04-20 04:25:00,USDCAD,1.26725,1.26696,1.26725,1.26699
2018-04-20 04:30:00,USDCAD,1.26701,1.26651,1.26701,1.26667
2018-04-20 04:35:00,USDCAD,1.26667,1.26651,1.2666600000000001,1.26653
2018-04-20 04:40:00,USDCAD,1.2668,1.26654,1.26654,1.26665
