,coin,high,low,open,close
2015-01-23 09:35:00,USDJPY,117.921,117.83,117.869,117.833
2015-01-23 09:40:00,USDJPY,117.846,117.736,117.833,117.744
2015-01-23 09:45:00,USDJPY,117.857,117.728,117.745,117.768
2015-01-23 09:50:00,USDJPY,117.797,117.692,117.767,117.701
2015-01-23 09:55:00,USDJPY,117.736,117.651,117.701,117.715
2015-01-23 10:00:00,USDJPY,117.831,117.658,117.715,117.659
2015-01-23 10:05:00,USDJPY,117.748,117.632,117.658,117.73
2015-01-23 10:10:00,USDJPY,117.778,117.683,117.73,117.696
2015-01-23 10:15:00,USDJPY,117.715,117.641,117.694,117.66
2015-01-23 10:20:00,USDJPY,117.729,117.655,117.661,117.715
2015-01-23 10:25:00,USDJPY,117.726,117.667,117.716,117.686
2015-01-23 10:30:00,USDJPY,117.7,117.61,117.686,117.626
2015-01-23 10:35:00,USDJPY,117.651,117.604,117.627,117.639
2015-01-23 10:40:00,USDJPY,117.658,117.6,117.633,117.62
2015-01-23 10:45:00,USDJPY,117.638,117.536,117.622,117.634
2015-01-23 10:50:00,USDJPY,117.779,117.589,117.635,117.745
2015-01-23 10:55:00,USDJPY,117.87,117.684,117.744,117.828
2015-01-23 11:00:00,USDJPY,117.853,117.761,117.826,117.784
2015-01-23 11:05:00,USDJPY,117.828,117.767,117.782,117.799
2015-01-23 11:10:00,USDJPY,117.839,117.737,117.798,117.742
2015-01-23 11:15:00,USDJPY,117.77,117.704,117.744,117.737
2015-01-23 11:20:00,USDJPY,117.792,117.714,117.736,117.745
2015-01-23 11:25:00,USDJPY,117.772,117.686,117.747,117.771
2015-01-23 11:30:00,USDJPY,117.828,117.715,117.771,117.814
2015-01-23 11:35:00,USDJPY,117.87,117.801,117.816,117.813
2015-01-23 11:40:00,USDJPY,117.826,117.771,117.813,117.794
2015-01-23 11:45:00,USDJPY,117.84,117.787,117.789,117.813
2015-01-23 11:50:00,USDJPY,117.812,117.76,117.812,117.766
2015-01-23 11:55:00,USDJPY,117.811,117.761,117.767,117.811
2015-01-23 12:00:00,USDJPY,117.814,117.768,117.81,117.805
2015-01-23 12:05:00,USDJPY,117.829,117.797,117.808,117.811
2015-01-23 12:10:00,USDJPY,117.952,117.811,117.811,117.902
2015-01-23 12:15:00,USDJPY,117.895,117.837,117.895,117.839
2015-01-23 12:20:00,USDJPY,117.855,117.809,117.841,117.821
2015-01-23 12:25:00,USDJPY,117.832,117.797,117.808,117.801
2015-01-23 12:30:00,USDJPY,117.854,117.8,117.801,117.842
2015-01-23 12:35:00,USDJPY,117.875,117.808,117.838,117.858
2015-01-23 12:40:00,USDJPY,117.868,117.808,117.859,117.827
2015-01-23 12:45:00,USDJPY,117.848,117.818,117.826,117.846
2015-01-23 12:50:00,USDJPY,117.879,117.834,117.849,117.841
2015-01-23 12:55:00,USDJPY,117.854,117.811,117.841,117.842
2015-01-23 13:00:00,USDJPY,117.849,117.805,117.841,117.825
2015-01-23 13:05:00,USDJPY,117.865,117.827,117.828,117.843
2015-01-23 13:10:00,USDJPY,117.864,117.832,117.842,117.853
2015-01-23 13:15:00,USDJPY,117.854,117.771,117.853,117.781
2015-01-23 13:20:00,USDJPY,117.802,117.764,117.779,117.788
2015-01-23 13:25:00,USDJPY,117.817,117.771,117.792,117.817
2015-01-23 13:30:00,USDJPY,117.84,117.796,117.817,117.803
2015-01-23 13:35:00,USDJPY,117.825,117.795,117.803,117.812
2015-01-23 13:40:00,USDJPY,117.843,117.801,117.811,117.825
2015-01-23 13:45:00,USDJPY,117.824,117.786,117.822,117.801
2015-01-23 13:50:00,USDJPY,117.813,117.756,117.801,117.784
2015-01-23 13:55:00,USDJPY,117.814,117.732,117.783,117.742
2015-01-23 14:00:00,USDJPY,117.8,117.729,117.741,117.771
2015-01-23 14:05:00,USDJPY,117.785,117.737,117.769,117.767
2015-01-23 14:10:00,USDJPY,117.768,117.716,117.768,117.745
2015-01-23 14:15:00,USDJPY,117.799,117.719,117.744,117.787
2015-01-23 14:20:00,USDJPY,117.818,117.783,117.786,117.813
2015-01-23 14:25:00,USDJPY,117.813,117.774,117.813,117.788
2015-01-23 14:30:00,USDJPY,117.802,117.772,117.79,117.773
2015-01-23 14:35:00,USDJPY,117.804,117.756,117.773,117.769
2015-01-23 14:40:00,USDJPY,117.803,117.758,117.771,117.803
2015-01-23 14:45:00,USDJPY,117.812,117.768,117.802,117.769
2015-01-23 14:50:00,USDJPY,117.77,117.752,117.77,117.758
2015-01-23 14:55:00,USDJPY,117.769,117.732,117.758,117.754
