,coin,high,low,open,close
2017-03-17 05:40:00,EURJPY,122.07,122.026,122.051,122.033
2017-03-17 05:45:00,EURJPY,122.063,121.994,122.033,122.062
2017-03-17 05:50:00,EURJPY,122.074,122.029,122.064,122.033
2017-03-17 05:55:00,EURJPY,122.035,121.98,122.033,121.995
2017-03-17 06:00:00,EURJPY,122.008,121.937,121.997,121.965
2017-03-17 06:05:00,EURJPY,121.973,121.912,121.967,121.963
2017-03-17 06:10:00,EURJPY,121.972,121.94,121.963,121.955
2017-03-17 06:15:00,EURJPY,121.976,121.933,121.954,121.975
2017-03-17 06:20:00,EURJPY,122.014,121.97,121.975,121.993
2017-03-17 06:25:00,EURJPY,122.023,121.989,121.992,122.0
2017-03-17 06:30:00,EURJPY,122.016,121.987,122.002,122.013
2017-03-17 06:35:00,EURJPY,122.012,121.975,122.011,121.975
2017-03-17 06:40:00,EURJPY,121.977,121.934,121.973,121.97
2017-03-17 06:45:00,EURJPY,121.994,121.93,121.971,121.965
2017-03-17 06:50:00,EURJPY,121.969,121.922,121.964,121.924
2017-03-17 06:55:00,EURJPY,121.934,121.901,121.922,121.908
2017-03-17 07:00:00,EURJPY,121.908,121.637,121.906,121.65
2017-03-17 07:05:00,EURJPY,121.662,121.515,121.653,121.556
2017-03-17 07:10:00,EURJPY,121.601,121.509,121.557,121.559
2017-03-17 07:15:00,EURJPY,121.636,121.523,121.56,121.617
2017-03-17 07:20:00,EURJPY,121.617,121.55,121.616,121.55
2017-03-17 07:25:00,EURJPY,121.57,121.521,121.55,121.536
2017-03-17 07:30:00,EURJPY,121.545,121.417,121.535,121.457
2017-03-17 07:35:00,EURJPY,121.545,121.459,121.459,121.54
2017-03-17 07:40:00,EURJPY,121.55,121.504,121.539,121.509
2017-03-17 07:45:00,EURJPY,121.511,121.45,121.511,121.489
2017-03-17 07:50:00,EURJPY,121.489,121.401,121.489,121.418
2017-03-17 07:55:00,EURJPY,121.423,121.34,121.415,121.367
2017-03-17 08:00:00,EURJPY,121.398,121.351,121.368,121.368
2017-03-17 08:05:00,EURJPY,121.486,121.347,121.37,121.485
2017-03-17 08:10:00,EURJPY,121.49,121.408,121.485,121.418
2017-03-17 08:15:00,EURJPY,121.459,121.413,121.416,121.435
2017-03-17 08:20:00,EURJPY,121.489,121.436,121.436,121.48
2017-03-17 08:25:00,EURJPY,121.486,121.451,121.482,121.478
2017-03-17 08:30:00,EURJPY,121.505,121.454,121.478,121.505
2017-03-17 08:35:00,EURJPY,121.523,121.481,121.506,121.481
2017-03-17 08:40:00,EURJPY,121.537,121.477,121.482,121.532
2017-03-17 08:45:00,EURJPY,121.534,121.505,121.534,121.507
2017-03-17 08:50:00,EURJPY,121.519,121.497,121.508,121.512
2017-03-17 08:55:00,EURJPY,121.538,121.5,121.514,121.513
2017-03-17 09:00:00,EURJPY,121.523,121.446,121.512,121.446
2017-03-17 09:05:00,EURJPY,121.472,121.437,121.448,121.465
2017-03-17 09:10:00,EURJPY,121.509,121.465,121.466,121.487
2017-03-17 09:15:00,EURJPY,121.497,121.435,121.495,121.478
2017-03-17 09:20:00,EURJPY,121.491,121.431,121.477,121.486
2017-03-17 09:25:00,EURJPY,121.515,121.479,121.485,121.492
2017-03-17 09:30:00,EURJPY,121.496,121.438,121.494,121.446
2017-03-17 09:35:00,EURJPY,121.462,121.364,121.447,121.398
2017-03-17 09:40:00,EURJPY,121.434,121.369,121.396,121.428
2017-03-17 09:45:00,EURJPY,121.478,121.39,121.428,121.469
2017-03-17 09:50:00,EURJPY,121.51,121.467,121.469,121.491
2017-03-17 09:55:00,EURJPY,121.494,121.416,121.492,121.416
2017-03-17 10:00:00,EURJPY,121.436,121.345,121.417,121.388
2017-03-17 10:05:00,EURJPY,121.405,121.339,121.388,121.387
2017-03-17 10:10:00,EURJPY,121.385,121.303,121.385,121.322
2017-03-17 10:15:00,EURJPY,121.354,121.3,121.32,121.347
2017-03-17 10:20:00,EURJPY,121.346,121.287,121.346,121.312
2017-03-17 10:25:00,EURJPY,121.326,121.261,121.316,121.279
2017-03-17 10:30:00,EURJPY,121.343,121.26,121.28,121.343
2017-03-17 10:35:00,EURJPY,121.349,121.3,121.337,121.308
2017-03-17 10:40:00,EURJPY,121.309,121.257,121.307,121.26
2017-03-17 10:45:00,EURJPY,121.265,121.226,121.261,121.255
2017-03-17 10:50:00,EURJPY,121.299,121.21,121.267,121.215
2017-03-17 10:55:00,EURJPY,121.24,121.203,121.213,121.222
2017-03-17 11:00:00,EURJPY,121.226,121.119,121.223,121.165
2017-03-17 11:05:00,EURJPY,121.192,121.066,121.163,121.073
2017-03-17 11:10:00,EURJPY,121.114,120.947,121.071,120.957
2017-03-17 11:15:00,EURJPY,120.978,120.935,120.958,120.969
2017-03-17 11:20:00,EURJPY,120.987,120.934,120.97,120.976
2017-03-17 11:25:00,EURJPY,121.013,120.961,120.977,120.979
2017-03-17 11:30:00,EURJPY,120.983,120.859,120.979,120.869
2017-03-17 11:35:00,EURJPY,120.877,120.818,120.869,120.862
2017-03-17 11:40:00,EURJPY,120.914,120.845,120.864,120.897
2017-03-17 11:45:00,EURJPY,120.899,120.841,120.895,120.896
2017-03-17 11:50:00,EURJPY,120.958,120.889,120.894,120.945
2017-03-17 11:55:00,EURJPY,121.024,120.948,120.948,121.024
2017-03-17 12:00:00,EURJPY,121.043,120.993,121.027,120.999
2017-03-17 12:05:00,EURJPY,121.07,121.002,121.002,121.065
2017-03-17 12:10:00,EURJPY,121.115,121.061,121.067,121.106
2017-03-17 12:15:00,EURJPY,121.122,121.094,121.107,121.095
2017-03-17 12:20:00,EURJPY,121.113,121.074,121.095,121.099
