,coin,high,low,open,close
2016-02-16 19:00:00,USDCAD,1.3866100000000001,1.38582,1.38599,1.3864100000000001
2016-02-16 19:05:00,USDCAD,1.38662,1.38594,1.3864299999999998,1.38595
2016-02-16 19:10:00,USDCAD,1.3863299999999998,1.3859299999999999,1.38595,1.38632
2016-02-16 19:15:00,USDCAD,1.38691,1.3863,1.3863299999999998,1.38691
2016-02-16 19:20:00,USDCAD,1.38723,1.3866,1.3869,1.3870799999999999
2016-02-16 19:25:00,USDCAD,1.38737,1.38677,1.3871,1.38694
2016-02-16 19:30:00,USDCAD,1.38731,1.38677,1.38696,1.38731
2016-02-16 19:35:00,USDCAD,1.38762,1.38716,1.38733,1.38751
2016-02-16 19:40:00,USDCAD,1.38753,1.38679,1.38751,1.38686
2016-02-16 19:45:00,USDCAD,1.38693,1.38636,1.38686,1.38645
2016-02-16 19:50:00,USDCAD,1.3870200000000001,1.38642,1.38644,1.38668
2016-02-16 19:55:00,USDCAD,1.38716,1.38675,1.38677,1.38711
2016-02-16 20:00:00,USDCAD,1.3871,1.38658,1.3871,1.3866399999999999
2016-02-16 20:05:00,USDCAD,1.3867399999999999,1.38632,1.3866399999999999,1.38639
2016-02-16 20:10:00,USDCAD,1.38668,1.38601,1.38638,1.3866399999999999
2016-02-16 20:15:00,USDCAD,1.38735,1.386,1.38665,1.38735
2016-02-16 20:20:00,USDCAD,1.3879700000000001,1.38713,1.38736,1.38794
2016-02-16 20:25:00,USDCAD,1.38798,1.38696,1.38794,1.3869799999999999
2016-02-16 20:30:00,USDCAD,1.38725,1.38658,1.3869799999999999,1.3872200000000001
2016-02-16 20:35:00,USDCAD,1.38776,1.38715,1.3872200000000001,1.38725
2016-02-16 20:40:00,USDCAD,1.38737,1.38679,1.38726,1.38686
2016-02-16 20:45:00,USDCAD,1.38714,1.38634,1.38685,1.38634
2016-02-16 20:50:00,USDCAD,1.3865,1.38596,1.38632,1.38629
2016-02-16 20:55:00,USDCAD,1.38649,1.38616,1.38629,1.38639
2016-02-16 21:00:00,USDCAD,1.38713,1.38618,1.38638,1.38711
2016-02-16 21:05:00,USDCAD,1.38713,1.38638,1.38711,1.3865299999999998
2016-02-16 21:10:00,USDCAD,1.38657,1.38583,1.38652,1.38589
2016-02-16 21:15:00,USDCAD,1.38604,1.38545,1.38586,1.3856600000000001
2016-02-16 21:20:00,USDCAD,1.3857,1.38511,1.3856700000000002,1.38524
2016-02-16 21:25:00,USDCAD,1.38551,1.38511,1.38526,1.38524
2016-02-16 21:30:00,USDCAD,1.38532,1.3848799999999999,1.38525,1.38489
2016-02-16 21:35:00,USDCAD,1.3853,1.3848799999999999,1.3848799999999999,1.38524
2016-02-16 21:40:00,USDCAD,1.38526,1.38485,1.38525,1.38485
2016-02-16 21:45:00,USDCAD,1.3850200000000001,1.38468,1.38485,1.38483
2016-02-16 21:50:00,USDCAD,1.3853600000000001,1.38485,1.38485,1.3853600000000001
2016-02-16 21:55:00,USDCAD,1.38578,1.38519,1.38535,1.38523
2016-02-16 22:00:00,USDCAD,1.38575,1.38503,1.38523,1.38574
2016-02-16 22:05:00,USDCAD,1.38602,1.38539,1.38572,1.3857
2016-02-16 22:10:00,USDCAD,1.38605,1.3856,1.38571,1.38592
2016-02-16 22:15:00,USDCAD,1.38628,1.38572,1.38592,1.38618
2016-02-16 22:20:00,USDCAD,1.38667,1.38619,1.38619,1.3866100000000001
2016-02-16 22:25:00,USDCAD,1.38679,1.38635,1.3866100000000001,1.38644
2016-02-16 22:30:00,USDCAD,1.3867399999999999,1.3861700000000001,1.38642,1.3864100000000001
2016-02-16 22:35:00,USDCAD,1.38657,1.38614,1.38644,1.38618
2016-02-16 22:40:00,USDCAD,1.38683,1.3861700000000001,1.3861700000000001,1.3867200000000002
2016-02-16 22:45:00,USDCAD,1.3871,1.3866,1.38673,1.38706
2016-02-16 22:50:00,USDCAD,1.38723,1.38649,1.38706,1.38663
