,coin,high,low,open,close
2018-01-05 13:40:00,EURJPY,136.355,136.319,136.319,136.341
2018-01-05 13:45:00,EURJPY,136.352,136.325,136.341,136.341
2018-01-05 13:50:00,EURJPY,136.345,136.313,136.341,136.32
2018-01-05 13:55:00,EURJPY,136.33,136.313,136.319,136.318
2018-01-05 14:00:00,EURJPY,136.335,136.315,136.319,136.329
2018-01-05 14:05:00,EURJPY,136.334,136.31,136.33,136.319
2018-01-05 14:10:00,EURJPY,136.338,136.309,136.319,136.312
2018-01-05 14:15:00,EURJPY,136.319,136.301,136.311,136.303
2018-01-05 14:20:00,EURJPY,136.324,136.305,136.307,136.314
2018-01-05 14:25:00,EURJPY,136.325,136.302,136.314,136.313
2018-01-05 14:30:00,EURJPY,136.333,136.309,136.312,136.323
2018-01-05 14:35:00,EURJPY,136.34,136.321,136.327,136.334
2018-01-05 14:40:00,EURJPY,136.336,136.311,136.335,136.313
2018-01-05 14:45:00,EURJPY,136.332,136.313,136.315,136.332
2018-01-05 14:50:00,EURJPY,136.333,136.319,136.332,136.32
2018-01-05 14:55:00,EURJPY,136.327,136.303,136.319,136.311
2018-01-05 15:00:00,EURJPY,136.327,136.287,136.311,136.301
2018-01-05 15:05:00,EURJPY,136.314,136.295,136.302,136.306
2018-01-05 15:10:00,EURJPY,136.316,136.286,136.305,136.287
2018-01-05 15:15:00,EURJPY,136.291,136.263,136.291,136.266
2018-01-05 15:20:00,EURJPY,136.277,136.253,136.264,136.263
2018-01-05 15:25:00,EURJPY,136.269,136.244,136.263,136.25
2018-01-05 15:30:00,EURJPY,136.256,136.235,136.249,136.247
2018-01-05 15:35:00,EURJPY,136.255,136.238,136.246,136.238
2018-01-05 15:40:00,EURJPY,136.245,136.23,136.238,136.23
2018-01-05 15:45:00,EURJPY,136.237,136.219,136.232,136.224
2018-01-05 15:50:00,EURJPY,136.228,136.197,136.227,136.206
2018-01-05 15:55:00,EURJPY,136.223,136.19,136.205,136.207
2018-01-05 16:00:00,EURJPY,136.229,136.206,136.206,136.208
2018-01-05 16:05:00,EURJPY,136.213,136.202,136.207,136.209
2018-01-05 16:10:00,EURJPY,136.224,136.189,136.21,136.191
2018-01-05 16:15:00,EURJPY,136.192,136.121,136.189,136.123
2018-01-05 16:20:00,EURJPY,136.126,136.097,136.125,136.116
2018-01-05 16:25:00,EURJPY,136.121,136.092,136.118,136.092
2018-01-05 16:30:00,EURJPY,136.101,136.08,136.093,136.097
2018-01-05 16:35:00,EURJPY,136.097,136.063,136.097,136.065
2018-01-05 16:40:00,EURJPY,136.079,136.055,136.067,136.055
2018-01-05 16:45:00,EURJPY,136.056,136.019,136.054,136.019
2018-01-05 16:50:00,EURJPY,136.03,135.977,136.019,135.989
2018-01-05 16:55:00,EURJPY,136.024,135.981,135.99,135.981
2018-01-07 17:00:00,EURJPY,136.047,136.024,136.047,136.036
2018-01-07 17:05:00,EURJPY,136.093,135.966,136.026,136.024
2018-01-07 17:10:00,EURJPY,136.061,135.991,136.028,135.991
2018-01-07 17:15:00,EURJPY,136.027,135.969,135.978,136.002
2018-01-07 17:20:00,EURJPY,136.058,135.999,136.001,136.058
2018-01-07 17:25:00,EURJPY,136.11,136.063,136.063,136.098
2018-01-07 17:30:00,EURJPY,136.116,136.086,136.094,136.108
2018-01-07 17:35:00,EURJPY,136.112,136.077,136.11,136.1
2018-01-07 17:40:00,EURJPY,136.127,136.071,136.1,136.08
2018-01-07 17:45:00,EURJPY,136.121,136.076,136.076,136.087
2018-01-07 17:50:00,EURJPY,136.1,136.059,136.087,136.076
2018-01-07 17:55:00,EURJPY,136.114,136.052,136.078,136.088
2018-01-07 18:00:00,EURJPY,136.225,136.086,136.088,136.222
2018-01-07 18:05:00,EURJPY,136.225,136.194,136.22,136.198
2018-01-07 18:10:00,EURJPY,136.196,136.148,136.196,136.182
2018-01-07 18:15:00,EURJPY,136.194,136.179,136.181,136.187
2018-01-07 18:20:00,EURJPY,136.231,136.179,136.186,136.226
2018-01-07 18:25:00,EURJPY,136.226,136.198,136.224,136.199
2018-01-07 18:30:00,EURJPY,136.216,136.192,136.199,136.213
2018-01-07 18:35:00,EURJPY,136.223,136.206,136.214,136.216
2018-01-07 18:40:00,EURJPY,136.233,136.214,136.218,136.224
2018-01-07 18:45:00,EURJPY,136.231,136.187,136.222,136.211
2018-01-07 18:50:00,EURJPY,136.212,136.197,136.21,136.212
2018-01-07 18:55:00,EURJPY,136.219,136.202,136.213,136.212
2018-01-07 19:00:00,EURJPY,136.211,136.177,136.211,136.177
2018-01-07 19:05:00,EURJPY,136.178,136.151,136.178,136.162
2018-01-07 19:10:00,EURJPY,136.173,136.151,136.162,136.151
2018-01-07 19:15:00,EURJPY,136.165,136.145,136.153,136.161
2018-01-07 19:20:00,EURJPY,136.162,136.133,136.161,136.148
2018-01-07 19:25:00,EURJPY,136.162,136.141,136.147,136.155
2018-01-07 19:30:00,EURJPY,136.181,136.156,136.158,136.174
2018-01-07 19:35:00,EURJPY,136.181,136.16,136.174,136.162
2018-01-07 19:40:00,EURJPY,136.176,136.164,136.164,136.175
2018-01-07 19:45:00,EURJPY,136.225,136.158,136.173,136.225
2018-01-07 19:50:00,EURJPY,136.229,136.201,136.226,136.206
2018-01-07 19:55:00,EURJPY,136.23,136.199,136.207,136.199
2018-01-07 20:00:00,EURJPY,136.23,136.188,136.198,136.22
2018-01-07 20:05:00,EURJPY,136.285,136.217,136.221,136.285
2018-01-07 20:10:00,EURJPY,136.283,136.237,136.283,136.25
2018-01-07 20:15:00,EURJPY,136.27,136.234,136.249,136.258
2018-01-07 20:20:00,EURJPY,136.279,136.248,136.259,136.274
2018-01-07 20:25:00,EURJPY,136.3,136.269,136.275,136.273
2018-01-07 20:30:00,EURJPY,136.278,136.244,136.272,136.268
2018-01-07 20:35:00,EURJPY,136.296,136.251,136.267,136.285
2018-01-07 20:40:00,EURJPY,136.321,136.271,136.285,136.319
2018-01-07 20:45:00,EURJPY,136.32,136.289,136.319,136.29
2018-01-07 20:50:00,EURJPY,136.291,136.255,136.289,136.255
2018-01-07 20:55:00,EURJPY,136.277,136.256,136.256,136.256
2018-01-07 21:00:00,EURJPY,136.263,136.236,136.256,136.245
2018-01-07 21:05:00,EURJPY,136.271,136.245,136.245,136.254
2018-01-07 21:10:00,EURJPY,136.262,136.237,136.254,136.237
2018-01-07 21:15:00,EURJPY,136.244,136.206,136.238,136.208
2018-01-07 21:20:00,EURJPY,136.21,136.175,136.207,136.203
2018-01-07 21:25:00,EURJPY,136.22,136.197,136.203,136.217
2018-01-07 21:30:00,EURJPY,136.221,136.187,136.217,136.195
2018-01-07 21:35:00,EURJPY,136.23,136.188,136.194,136.222
2018-01-07 21:40:00,EURJPY,136.232,136.203,136.221,136.218
2018-01-07 21:45:00,EURJPY,136.216,136.168,136.216,136.176
2018-01-07 21:50:00,EURJPY,136.216,136.176,136.177,136.213
2018-01-07 21:55:00,EURJPY,136.219,136.202,136.213,136.219
2018-01-07 22:00:00,EURJPY,136.219,136.179,136.219,136.18
2018-01-07 22:05:00,EURJPY,136.186,136.172,136.181,136.183
2018-01-07 22:10:00,EURJPY,136.199,136.179,136.183,136.187
2018-01-07 22:15:00,EURJPY,136.201,136.183,136.187,136.191
2018-01-07 22:20:00,EURJPY,136.192,136.178,136.191,136.19
2018-01-07 22:25:00,EURJPY,136.19,136.169,136.19,136.175
2018-01-07 22:30:00,EURJPY,136.188,136.177,136.177,136.18
2018-01-07 22:35:00,EURJPY,136.182,136.168,136.179,136.177
2018-01-07 22:40:00,EURJPY,136.179,136.153,136.176,136.158
2018-01-07 22:45:00,EURJPY,136.162,136.143,136.158,136.154
2018-01-07 22:50:00,EURJPY,136.177,136.146,136.155,136.17
2018-01-07 22:55:00,EURJPY,136.184,136.17,136.172,136.18
2018-01-07 23:00:00,EURJPY,136.186,136.15,136.18,136.155
2018-01-07 23:05:00,EURJPY,136.166,136.139,136.154,136.143
2018-01-07 23:10:00,EURJPY,136.143,136.114,136.143,136.117
2018-01-07 23:15:00,EURJPY,136.135,136.11,136.118,136.123
2018-01-07 23:20:00,EURJPY,136.14,136.089,136.123,136.089
2018-01-07 23:25:00,EURJPY,136.113,136.087,136.089,136.107
2018-01-07 23:30:00,EURJPY,136.129,136.106,136.107,136.107
