,coin,high,low,open,close
2016-05-03 09:50:00,USDJPY,105.992,105.918,105.96,105.985
2016-05-03 09:55:00,USDJPY,106.013,105.929,105.985,105.99
2016-05-03 10:00:00,USDJPY,105.993,105.932,105.99,105.948
2016-05-03 10:05:00,USDJPY,105.986,105.94,105.95,105.952
2016-05-03 10:10:00,USDJPY,106.051,105.945,105.952,106.047
2016-05-03 10:15:00,USDJPY,106.101,106.034,106.045,106.035
2016-05-03 10:20:00,USDJPY,106.128,106.036,106.036,106.127
2016-05-03 10:25:00,USDJPY,106.23,106.126,106.127,106.184
2016-05-03 10:30:00,USDJPY,106.192,106.154,106.187,106.171
2016-05-03 10:35:00,USDJPY,106.171,106.095,106.171,106.109
2016-05-03 10:40:00,USDJPY,106.206,106.104,106.107,106.197
2016-05-03 10:45:00,USDJPY,106.224,106.155,106.197,106.162
2016-05-03 10:50:00,USDJPY,106.266,106.138,106.162,106.25
2016-05-03 10:55:00,USDJPY,106.302,106.19,106.251,106.19
2016-05-03 11:00:00,USDJPY,106.256,106.183,106.194,106.256
2016-05-03 11:05:00,USDJPY,106.341,106.252,106.255,106.318
2016-05-03 11:10:00,USDJPY,106.333,106.271,106.319,106.307
2016-05-03 11:15:00,USDJPY,106.37,106.284,106.308,106.306
2016-05-03 11:20:00,USDJPY,106.33,106.271,106.308,106.284
2016-05-03 11:25:00,USDJPY,106.349,106.251,106.287,106.26
2016-05-03 11:30:00,USDJPY,106.282,106.227,106.263,106.273
2016-05-03 11:35:00,USDJPY,106.285,106.225,106.273,106.238
2016-05-03 11:40:00,USDJPY,106.291,106.232,106.239,106.27
2016-05-03 11:45:00,USDJPY,106.299,106.262,106.27,106.279
2016-05-03 11:50:00,USDJPY,106.295,106.225,106.281,106.288
2016-05-03 11:55:00,USDJPY,106.355,106.27,106.286,106.352
2016-05-03 12:00:00,USDJPY,106.368,106.33,106.349,106.363
2016-05-03 12:05:00,USDJPY,106.38,106.323,106.362,106.331
2016-05-03 12:10:00,USDJPY,106.331,106.273,106.331,106.283
2016-05-03 12:15:00,USDJPY,106.313,106.27,106.281,106.282
2016-05-03 12:20:00,USDJPY,106.287,106.245,106.281,106.246
2016-05-03 12:25:00,USDJPY,106.286,106.245,106.245,106.284
2016-05-03 12:30:00,USDJPY,106.282,106.251,106.282,106.274
2016-05-03 12:35:00,USDJPY,106.343,106.261,106.272,106.336
2016-05-03 12:40:00,USDJPY,106.351,106.29,106.336,106.29
2016-05-03 12:45:00,USDJPY,106.301,106.264,106.29,106.274
2016-05-03 12:50:00,USDJPY,106.338,106.273,106.275,106.314
