,coin,high,low,open,close
2018-05-15 23:35:00,EURUSD,1.1832,1.1829100000000001,1.1829100000000001,1.18319
2018-05-15 23:40:00,EURUSD,1.18341,1.1831399999999999,1.18318,1.1833200000000001
2018-05-15 23:45:00,EURUSD,1.18334,1.18318,1.1833200000000001,1.18333
2018-05-15 23:50:00,EURUSD,1.18341,1.18321,1.1833200000000001,1.18341
2018-05-15 23:55:00,EURUSD,1.1833799999999999,1.18306,1.1833799999999999,1.18331
2018-05-16 00:00:00,EURUSD,1.1833,1.1829,1.1833,1.1829100000000001
2018-05-16 00:05:00,EURUSD,1.1831200000000002,1.18289,1.1829,1.1830200000000002
2018-05-16 00:10:00,EURUSD,1.18315,1.1829,1.18303,1.1829
2018-05-16 00:15:00,EURUSD,1.18295,1.18282,1.18289,1.1829100000000001
2018-05-16 00:20:00,EURUSD,1.1830399999999999,1.1829,1.1829,1.1830100000000001
2018-05-16 00:25:00,EURUSD,1.1832,1.18295,1.1830399999999999,1.1832
2018-05-16 00:30:00,EURUSD,1.1833,1.1831,1.18321,1.18321
2018-05-16 00:35:00,EURUSD,1.1833200000000001,1.18318,1.1832,1.18318
2018-05-16 00:40:00,EURUSD,1.18334,1.1831399999999999,1.18319,1.18325
2018-05-16 00:45:00,EURUSD,1.18335,1.1832,1.18324,1.1833
2018-05-16 00:50:00,EURUSD,1.18333,1.1832,1.1832799999999999,1.18326
2018-05-16 00:55:00,EURUSD,1.18327,1.18309,1.18327,1.1832
2018-05-16 01:00:00,EURUSD,1.1835,1.18306,1.1832200000000002,1.18341
2018-05-16 01:05:00,EURUSD,1.1834,1.18321,1.1834,1.18333
2018-05-16 01:10:00,EURUSD,1.1835200000000001,1.18326,1.18333,1.18349
2018-05-16 01:15:00,EURUSD,1.18353,1.18336,1.1834799999999999,1.18347
2018-05-16 01:20:00,EURUSD,1.18364,1.18324,1.1834799999999999,1.1833
2018-05-16 01:25:00,EURUSD,1.18337,1.18325,1.1832799999999999,1.1833
2018-05-16 01:30:00,EURUSD,1.18341,1.18307,1.18329,1.18339
2018-05-16 01:35:00,EURUSD,1.1835,1.18315,1.18339,1.1835
2018-05-16 01:40:00,EURUSD,1.1836200000000001,1.18337,1.18349,1.1835
2018-05-16 01:45:00,EURUSD,1.18373,1.18341,1.1835,1.1836200000000001
2018-05-16 01:50:00,EURUSD,1.18428,1.1836200000000001,1.1836200000000001,1.18413
2018-05-16 01:55:00,EURUSD,1.18423,1.1840600000000001,1.18412,1.1841700000000002
2018-05-16 02:00:00,EURUSD,1.18416,1.1837,1.18416,1.1838600000000001
2018-05-16 02:05:00,EURUSD,1.1838600000000001,1.1835,1.18385,1.18356
2018-05-16 02:10:00,EURUSD,1.18431,1.1833799999999999,1.18361,1.18426
2018-05-16 02:15:00,EURUSD,1.1845,1.18373,1.18426,1.1838
2018-05-16 02:20:00,EURUSD,1.1838,1.18349,1.1838,1.18355
2018-05-16 02:25:00,EURUSD,1.18364,1.18276,1.1835200000000001,1.1828299999999998
2018-05-16 02:30:00,EURUSD,1.183,1.1824299999999999,1.1828299999999998,1.183
2018-05-16 02:35:00,EURUSD,1.1836,1.18299,1.18299,1.1835200000000001
2018-05-16 02:40:00,EURUSD,1.18354,1.18317,1.18353,1.18329
2018-05-16 02:45:00,EURUSD,1.18344,1.18295,1.1832799999999999,1.18344
2018-05-16 02:50:00,EURUSD,1.18449,1.1831,1.1834200000000001,1.18356
2018-05-16 02:55:00,EURUSD,1.18436,1.1835,1.18355,1.18414
2018-05-16 03:00:00,EURUSD,1.18436,1.1829,1.18413,1.18354
2018-05-16 03:05:00,EURUSD,1.1839600000000001,1.18325,1.18355,1.18346
2018-05-16 03:10:00,EURUSD,1.18392,1.18341,1.18345,1.1837600000000001
2018-05-16 03:15:00,EURUSD,1.18418,1.18373,1.1837600000000001,1.1839899999999999
2018-05-16 03:20:00,EURUSD,1.18405,1.1836,1.1839899999999999,1.1837799999999998
2018-05-16 03:25:00,EURUSD,1.1846,1.18326,1.18377,1.1845299999999999
2018-05-16 03:30:00,EURUSD,1.18536,1.18422,1.18452,1.1848100000000001
2018-05-16 03:35:00,EURUSD,1.18537,1.18464,1.1848,1.18526
2018-05-16 03:40:00,EURUSD,1.18537,1.18496,1.18528,1.18516
2018-05-16 03:45:00,EURUSD,1.18524,1.18464,1.18517,1.1847299999999998
2018-05-16 03:50:00,EURUSD,1.1848,1.18455,1.18476,1.1846299999999998
2018-05-16 03:55:00,EURUSD,1.1848100000000001,1.18434,1.18458,1.1847
2018-05-16 04:00:00,EURUSD,1.18475,1.18432,1.18471,1.18458
2018-05-16 04:05:00,EURUSD,1.18484,1.1845,1.1846,1.18479
2018-05-16 04:10:00,EURUSD,1.1852200000000002,1.1844299999999999,1.1848299999999998,1.18455
2018-05-16 04:15:00,EURUSD,1.1845700000000001,1.18421,1.18455,1.18431
2018-05-16 04:20:00,EURUSD,1.18459,1.18425,1.18432,1.18449
2018-05-16 04:25:00,EURUSD,1.18466,1.18423,1.18449,1.18423
2018-05-16 04:30:00,EURUSD,1.1843,1.18357,1.18424,1.18357
2018-05-16 04:35:00,EURUSD,1.18363,1.18275,1.18353,1.1835
2018-05-16 04:40:00,EURUSD,1.18356,1.18324,1.18349,1.18339
2018-05-16 04:45:00,EURUSD,1.18371,1.1828299999999998,1.18339,1.18297
2018-05-16 04:50:00,EURUSD,1.18339,1.18261,1.18297,1.18261
2018-05-16 04:55:00,EURUSD,1.1836799999999998,1.18254,1.1826299999999998,1.1836799999999998
2018-05-16 05:00:00,EURUSD,1.18379,1.18319,1.18349,1.18339
2018-05-16 05:05:00,EURUSD,1.1835200000000001,1.18268,1.1833799999999999,1.18289
2018-05-16 05:10:00,EURUSD,1.18324,1.18262,1.18288,1.18271
2018-05-16 05:15:00,EURUSD,1.18274,1.1806,1.18271,1.18061
2018-05-16 05:20:00,EURUSD,1.1812200000000002,1.1806,1.18062,1.18109
2018-05-16 05:25:00,EURUSD,1.1816,1.1808299999999998,1.18109,1.18133
2018-05-16 05:30:00,EURUSD,1.18143,1.18079,1.1813799999999999,1.18124
2018-05-16 05:35:00,EURUSD,1.18137,1.1806,1.1812200000000002,1.1806
2018-05-16 05:40:00,EURUSD,1.18062,1.18026,1.1806,1.1803
2018-05-16 05:45:00,EURUSD,1.18072,1.18005,1.18031,1.18055
2018-05-16 05:50:00,EURUSD,1.18088,1.18034,1.18054,1.18066
2018-05-16 05:55:00,EURUSD,1.18108,1.18059,1.18066,1.18076
2018-05-16 06:00:00,EURUSD,1.18099,1.1802,1.18077,1.1802700000000002
2018-05-16 06:05:00,EURUSD,1.1803299999999999,1.17956,1.18028,1.17957
2018-05-16 06:10:00,EURUSD,1.1798799999999998,1.1795200000000001,1.17956,1.17981
2018-05-16 06:15:00,EURUSD,1.18061,1.17939,1.17981,1.18054
2018-05-16 06:20:00,EURUSD,1.18092,1.1800899999999999,1.18056,1.1800899999999999
2018-05-16 06:25:00,EURUSD,1.18022,1.17947,1.1800899999999999,1.17957
2018-05-16 06:30:00,EURUSD,1.17963,1.17824,1.17957,1.17836
2018-05-16 06:35:00,EURUSD,1.17867,1.17826,1.17836,1.17851
2018-05-16 06:40:00,EURUSD,1.1787299999999998,1.17825,1.1785,1.1784700000000001
2018-05-16 06:45:00,EURUSD,1.17878,1.17813,1.17846,1.17876
2018-05-16 06:50:00,EURUSD,1.17903,1.1786299999999998,1.17879,1.17893
2018-05-16 06:55:00,EURUSD,1.17933,1.1789,1.1789,1.1791200000000002
2018-05-16 07:00:00,EURUSD,1.17911,1.1784700000000001,1.17911,1.17856
2018-05-16 07:05:00,EURUSD,1.17924,1.17852,1.17856,1.17905
2018-05-16 07:10:00,EURUSD,1.17931,1.17886,1.17906,1.17931
2018-05-16 07:15:00,EURUSD,1.1793200000000001,1.17895,1.17929,1.1792200000000002
2018-05-16 07:20:00,EURUSD,1.1794,1.17885,1.17923,1.17939
2018-05-16 07:25:00,EURUSD,1.1794799999999999,1.17811,1.17939,1.17835
2018-05-16 07:30:00,EURUSD,1.17858,1.17725,1.17836,1.17734
2018-05-16 07:35:00,EURUSD,1.17739,1.1766299999999998,1.17735,1.1769100000000001
2018-05-16 07:40:00,EURUSD,1.17755,1.17682,1.1769,1.17753
2018-05-16 07:45:00,EURUSD,1.17808,1.1775,1.17755,1.17802
2018-05-16 07:50:00,EURUSD,1.17828,1.1777799999999998,1.17803,1.17818
2018-05-16 07:55:00,EURUSD,1.17869,1.178,1.17815,1.17867
2018-05-16 08:00:00,EURUSD,1.17893,1.17861,1.17868,1.17879
2018-05-16 08:05:00,EURUSD,1.17885,1.17824,1.1788,1.17862
2018-05-16 08:10:00,EURUSD,1.1789,1.1783299999999999,1.1786299999999998,1.17836
2018-05-16 08:15:00,EURUSD,1.1784,1.17761,1.17835,1.1776200000000001
2018-05-16 08:20:00,EURUSD,1.17792,1.17727,1.1776,1.1774200000000001
2018-05-16 08:25:00,EURUSD,1.1776200000000001,1.1772799999999999,1.1774,1.1774200000000001
2018-05-16 08:30:00,EURUSD,1.17814,1.1774200000000001,1.1774200000000001,1.17813
2018-05-16 08:35:00,EURUSD,1.17849,1.1778899999999999,1.17814,1.17805
2018-05-16 08:40:00,EURUSD,1.1781,1.17753,1.17804,1.17764
2018-05-16 08:45:00,EURUSD,1.1778,1.1769100000000001,1.17766,1.17699
2018-05-16 08:50:00,EURUSD,1.17703,1.17635,1.17698,1.1766299999999998
2018-05-16 08:55:00,EURUSD,1.1769100000000001,1.17645,1.1766299999999998,1.1766299999999998
2018-05-16 09:00:00,EURUSD,1.17746,1.1766299999999998,1.17664,1.17729
2018-05-16 09:05:00,EURUSD,1.17788,1.1770399999999999,1.1773,1.17775
2018-05-16 09:10:00,EURUSD,1.1780700000000002,1.17744,1.1777600000000001,1.17746
2018-05-16 09:15:00,EURUSD,1.17835,1.17692,1.17746,1.1783
2018-05-16 09:20:00,EURUSD,1.17916,1.17801,1.17831,1.17908
2018-05-16 09:25:00,EURUSD,1.1802700000000002,1.17905,1.17908,1.18012
2018-05-16 09:30:00,EURUSD,1.18077,1.17994,1.18014,1.18046
2018-05-16 09:35:00,EURUSD,1.18045,1.17967,1.18045,1.17987
2018-05-16 09:40:00,EURUSD,1.1799,1.17919,1.1798600000000001,1.17944
2018-05-16 09:45:00,EURUSD,1.1799600000000001,1.1791,1.17941,1.17971
2018-05-16 09:50:00,EURUSD,1.18,1.17937,1.1797,1.1799600000000001
2018-05-16 09:55:00,EURUSD,1.18012,1.17941,1.17997,1.1798
2018-05-16 10:00:00,EURUSD,1.18159,1.1793799999999999,1.17985,1.18141
2018-05-16 10:05:00,EURUSD,1.18197,1.18108,1.18146,1.18139
2018-05-16 10:10:00,EURUSD,1.1814,1.18058,1.1814,1.18059
2018-05-16 10:15:00,EURUSD,1.18086,1.18038,1.18059,1.18038
2018-05-16 10:20:00,EURUSD,1.18042,1.17982,1.18039,1.18024
2018-05-16 10:25:00,EURUSD,1.18026,1.17947,1.18019,1.1795
2018-05-16 10:30:00,EURUSD,1.17984,1.17908,1.17947,1.17941
2018-05-16 10:35:00,EURUSD,1.1800700000000002,1.17937,1.1794,1.17995
2018-05-16 10:40:00,EURUSD,1.18045,1.17984,1.1799899999999999,1.18016
2018-05-16 10:45:00,EURUSD,1.1802,1.17955,1.1801700000000002,1.1797799999999998
2018-05-16 10:50:00,EURUSD,1.17983,1.17899,1.1797799999999998,1.17918
2018-05-16 10:55:00,EURUSD,1.17923,1.17859,1.17918,1.17861
2018-05-16 11:00:00,EURUSD,1.1787,1.1782,1.17861,1.1785700000000001
2018-05-16 11:05:00,EURUSD,1.1787299999999998,1.17816,1.1785700000000001,1.1783
2018-05-16 11:10:00,EURUSD,1.1783299999999999,1.17783,1.17829,1.17805
2018-05-16 11:15:00,EURUSD,1.17838,1.17788,1.1780700000000002,1.1783299999999999
2018-05-16 11:20:00,EURUSD,1.17849,1.17816,1.17834,1.17825
2018-05-16 11:25:00,EURUSD,1.1785299999999999,1.1778600000000001,1.17825,1.17852
2018-05-16 11:30:00,EURUSD,1.17874,1.1784,1.17854,1.17852
2018-05-16 11:35:00,EURUSD,1.17862,1.17793,1.17851,1.17794
2018-05-16 11:40:00,EURUSD,1.17836,1.1777799999999998,1.17793,1.17813
2018-05-16 11:45:00,EURUSD,1.1784700000000001,1.178,1.17812,1.1783700000000001
2018-05-16 11:50:00,EURUSD,1.17882,1.17838,1.17838,1.17866
2018-05-16 11:55:00,EURUSD,1.17869,1.1783700000000001,1.17868,1.17862
2018-05-16 12:00:00,EURUSD,1.17872,1.17812,1.17866,1.17835
2018-05-16 12:05:00,EURUSD,1.17882,1.17832,1.17836,1.1787
2018-05-16 12:10:00,EURUSD,1.17876,1.1783,1.1787299999999998,1.17832
2018-05-16 12:15:00,EURUSD,1.17918,1.17831,1.1783299999999999,1.17918
2018-05-16 12:20:00,EURUSD,1.17954,1.17913,1.17918,1.17921
2018-05-16 12:25:00,EURUSD,1.17974,1.17916,1.17921,1.17974
2018-05-16 12:30:00,EURUSD,1.1803700000000001,1.1796200000000001,1.1797600000000001,1.18018
2018-05-16 12:35:00,EURUSD,1.1805,1.18016,1.1801700000000002,1.18034
2018-05-16 12:40:00,EURUSD,1.18107,1.18031,1.18031,1.1808299999999998
2018-05-16 12:45:00,EURUSD,1.18097,1.18039,1.18082,1.1807
2018-05-16 12:50:00,EURUSD,1.1813,1.18061,1.18068,1.18121
2018-05-16 12:55:00,EURUSD,1.18159,1.18118,1.1812200000000002,1.18124
2018-05-16 13:00:00,EURUSD,1.18137,1.18099,1.18123,1.18123
2018-05-16 13:05:00,EURUSD,1.1815,1.1808100000000001,1.1812200000000002,1.18095
2018-05-16 13:10:00,EURUSD,1.18103,1.1808,1.1809399999999999,1.18098
2018-05-16 13:15:00,EURUSD,1.18123,1.18098,1.181,1.18109
2018-05-16 13:20:00,EURUSD,1.18119,1.1805,1.1811,1.1806
2018-05-16 13:25:00,EURUSD,1.18088,1.18046,1.18061,1.18086
2018-05-16 13:30:00,EURUSD,1.18092,1.18066,1.18087,1.18072
2018-05-16 13:35:00,EURUSD,1.18111,1.18075,1.18076,1.18095
2018-05-16 13:40:00,EURUSD,1.181,1.18072,1.1809399999999999,1.1809100000000001
2018-05-16 13:45:00,EURUSD,1.18129,1.18062,1.18089,1.1811399999999999
2018-05-16 13:50:00,EURUSD,1.18113,1.1808,1.18113,1.18093
2018-05-16 13:55:00,EURUSD,1.18173,1.18085,1.1809399999999999,1.18169
2018-05-16 14:00:00,EURUSD,1.18195,1.18165,1.1816799999999998,1.18181
2018-05-16 14:05:00,EURUSD,1.18184,1.18156,1.1818,1.18156
2018-05-16 14:10:00,EURUSD,1.18165,1.18137,1.18157,1.1815200000000001
2018-05-16 14:15:00,EURUSD,1.18172,1.18147,1.1815200000000001,1.18151
2018-05-16 14:20:00,EURUSD,1.18165,1.18146,1.1815200000000001,1.1816200000000001
2018-05-16 14:25:00,EURUSD,1.18166,1.18126,1.18161,1.18133
2018-05-16 14:30:00,EURUSD,1.1814200000000001,1.1808,1.1813200000000001,1.18082
2018-05-16 14:35:00,EURUSD,1.1810200000000002,1.18076,1.18082,1.1810200000000002
2018-05-16 14:40:00,EURUSD,1.1810200000000002,1.18069,1.1810100000000001,1.1810100000000001
2018-05-16 14:45:00,EURUSD,1.1810100000000001,1.18049,1.1810100000000001,1.18049
2018-05-16 14:50:00,EURUSD,1.18065,1.1804,1.18051,1.18056
2018-05-16 14:55:00,EURUSD,1.18056,1.18001,1.18056,1.1800899999999999
2018-05-16 15:00:00,EURUSD,1.18019,1.17987,1.1801,1.17993
2018-05-16 15:05:00,EURUSD,1.1801700000000002,1.17987,1.17993,1.18011
2018-05-16 15:10:00,EURUSD,1.1804,1.18011,1.18013,1.18023
2018-05-16 15:15:00,EURUSD,1.18038,1.18011,1.18024,1.18011
2018-05-16 15:20:00,EURUSD,1.18024,1.18008,1.18012,1.18013
2018-05-16 15:25:00,EURUSD,1.18021,1.18008,1.18015,1.18013
2018-05-16 15:30:00,EURUSD,1.18026,1.1800700000000002,1.18013,1.18014
2018-05-16 15:35:00,EURUSD,1.18023,1.1800899999999999,1.1801700000000002,1.1801
2018-05-16 15:40:00,EURUSD,1.18018,1.1800700000000002,1.1801,1.1801700000000002
2018-05-16 15:45:00,EURUSD,1.1802,1.18008,1.18019,1.18008
2018-05-16 15:50:00,EURUSD,1.1801700000000002,1.18006,1.1800700000000002,1.1800899999999999
2018-05-16 15:55:00,EURUSD,1.18028,1.1799899999999999,1.18012,1.1802700000000002
2018-05-16 16:00:00,EURUSD,1.18028,1.18013,1.1802700000000002,1.1802700000000002
2018-05-16 16:05:00,EURUSD,1.18056,1.18025,1.18029,1.18056
2018-05-16 16:10:00,EURUSD,1.18077,1.1805,1.18056,1.18074
2018-05-16 16:15:00,EURUSD,1.18082,1.18072,1.1807299999999998,1.18078
2018-05-16 16:20:00,EURUSD,1.1809100000000001,1.18078,1.18078,1.18084
2018-05-16 16:25:00,EURUSD,1.18084,1.18075,1.18084,1.18077
2018-05-16 16:30:00,EURUSD,1.18082,1.18042,1.1807299999999998,1.18074
2018-05-16 16:35:00,EURUSD,1.18082,1.18065,1.18075,1.18069
2018-05-16 16:40:00,EURUSD,1.18085,1.18067,1.1807,1.1808
2018-05-16 16:45:00,EURUSD,1.1808299999999998,1.18078,1.18079,1.18082
2018-05-16 16:50:00,EURUSD,1.1808100000000001,1.18059,1.1808100000000001,1.18074
2018-05-16 16:55:00,EURUSD,1.18079,1.18061,1.1807299999999998,1.18069
2018-05-16 17:00:00,EURUSD,1.1808299999999998,1.18055,1.18061,1.18069
2018-05-16 17:05:00,EURUSD,1.18106,1.18036,1.18071,1.18079
2018-05-16 17:10:00,EURUSD,1.1811,1.1807299999999998,1.18076,1.1811
2018-05-16 17:15:00,EURUSD,1.1811200000000002,1.1808299999999998,1.1811200000000002,1.1810100000000001
2018-05-16 17:20:00,EURUSD,1.18111,1.18096,1.181,1.18105
2018-05-16 17:25:00,EURUSD,1.18121,1.1809399999999999,1.1810399999999999,1.18118
2018-05-16 17:30:00,EURUSD,1.1812,1.18044,1.18117,1.1809
2018-05-16 17:35:00,EURUSD,1.1809399999999999,1.18078,1.18088,1.18084
2018-05-16 17:40:00,EURUSD,1.18107,1.18086,1.18086,1.1810100000000001
2018-05-16 17:45:00,EURUSD,1.1811,1.18095,1.181,1.1810200000000002
2018-05-16 17:50:00,EURUSD,1.18109,1.1809100000000001,1.181,1.18093
2018-05-16 17:55:00,EURUSD,1.18113,1.1809100000000001,1.1809399999999999,1.18108
2018-05-16 18:00:00,EURUSD,1.1812,1.18092,1.18105,1.18116
2018-05-16 18:05:00,EURUSD,1.18124,1.18113,1.18119,1.18117
2018-05-16 18:10:00,EURUSD,1.1814200000000001,1.18117,1.18118,1.18135
2018-05-16 18:15:00,EURUSD,1.18136,1.1811,1.18134,1.18115
2018-05-16 18:20:00,EURUSD,1.18144,1.18115,1.18119,1.18121
2018-05-16 18:25:00,EURUSD,1.1813,1.18121,1.1812200000000002,1.18127
2018-05-16 18:30:00,EURUSD,1.18133,1.18124,1.1813200000000001,1.1812799999999999
2018-05-16 18:35:00,EURUSD,1.1814,1.18127,1.18131,1.1813200000000001
2018-05-16 18:40:00,EURUSD,1.18155,1.18131,1.18131,1.18154
2018-05-16 18:45:00,EURUSD,1.18167,1.1815,1.18154,1.1815
2018-05-16 18:50:00,EURUSD,1.18164,1.1815,1.18151,1.1815799999999999
2018-05-16 18:55:00,EURUSD,1.18169,1.1815799999999999,1.18161,1.1815799999999999
2018-05-16 19:00:00,EURUSD,1.18156,1.1813799999999999,1.18156,1.18151
2018-05-16 19:05:00,EURUSD,1.1819899999999999,1.18135,1.1814799999999999,1.18194
2018-05-16 19:10:00,EURUSD,1.18192,1.18143,1.18192,1.18172
2018-05-16 19:15:00,EURUSD,1.18174,1.18135,1.18172,1.18136
2018-05-16 19:20:00,EURUSD,1.18145,1.1812799999999999,1.18135,1.18145
2018-05-16 19:25:00,EURUSD,1.18144,1.18123,1.18144,1.18136
2018-05-16 19:30:00,EURUSD,1.18135,1.18116,1.18135,1.18117
2018-05-16 19:35:00,EURUSD,1.1813,1.1811,1.1812200000000002,1.1813
2018-05-16 19:40:00,EURUSD,1.1813799999999999,1.18124,1.18129,1.18131
2018-05-16 19:45:00,EURUSD,1.1814200000000001,1.1813,1.1813,1.18141
2018-05-16 19:50:00,EURUSD,1.18169,1.18139,1.1814200000000001,1.1816200000000001
2018-05-16 19:55:00,EURUSD,1.18165,1.18144,1.1816200000000001,1.18147
2018-05-16 20:00:00,EURUSD,1.18147,1.1809100000000001,1.18146,1.18109
2018-05-16 20:05:00,EURUSD,1.18108,1.1808299999999998,1.18108,1.18095
2018-05-16 20:10:00,EURUSD,1.1812,1.18085,1.18096,1.18109
2018-05-16 20:15:00,EURUSD,1.18136,1.18099,1.18109,1.1813
2018-05-16 20:20:00,EURUSD,1.18131,1.18084,1.18129,1.18095
2018-05-16 20:25:00,EURUSD,1.18107,1.18078,1.1809399999999999,1.1809100000000001
2018-05-16 20:30:00,EURUSD,1.18103,1.18084,1.18093,1.1809
2018-05-16 20:35:00,EURUSD,1.18129,1.18069,1.18089,1.18126
2018-05-16 20:40:00,EURUSD,1.18131,1.18119,1.18127,1.18125
2018-05-16 20:45:00,EURUSD,1.18145,1.18119,1.18124,1.18121
2018-05-16 20:50:00,EURUSD,1.1813799999999999,1.1812200000000002,1.1812200000000002,1.1813
2018-05-16 20:55:00,EURUSD,1.18131,1.18109,1.18131,1.18115
2018-05-16 21:00:00,EURUSD,1.1812200000000002,1.1809,1.18116,1.18118
2018-05-16 21:05:00,EURUSD,1.18117,1.1808,1.18117,1.1808
2018-05-16 21:10:00,EURUSD,1.18103,1.18072,1.18079,1.1808299999999998
2018-05-16 21:15:00,EURUSD,1.18095,1.18079,1.18082,1.18089
2018-05-16 21:20:00,EURUSD,1.18105,1.1806299999999998,1.1809,1.18105
2018-05-16 21:25:00,EURUSD,1.18125,1.1810399999999999,1.1810399999999999,1.18123
2018-05-16 21:30:00,EURUSD,1.18124,1.18085,1.18124,1.1810200000000002
2018-05-16 21:35:00,EURUSD,1.18103,1.18068,1.18103,1.18068
2018-05-16 21:40:00,EURUSD,1.1813,1.18069,1.18072,1.18121
2018-05-16 21:45:00,EURUSD,1.18182,1.1812200000000002,1.1812200000000002,1.18181
2018-05-16 21:50:00,EURUSD,1.18181,1.1814,1.1818,1.18151
2018-05-16 21:55:00,EURUSD,1.18154,1.18117,1.18153,1.18119
2018-05-16 22:00:00,EURUSD,1.18156,1.18119,1.18119,1.18156
2018-05-16 22:05:00,EURUSD,1.18187,1.18154,1.18155,1.1818600000000001
2018-05-16 22:10:00,EURUSD,1.18372,1.18179,1.18185,1.1832200000000002
2018-05-16 22:15:00,EURUSD,1.18327,1.18271,1.1832200000000002,1.18278
